CU458896
JALN00000000
CVQQ00000000
CCAW00000000
ACFI00000000
BCSX00000000
BCQY00000000
AFVW00000000
CCBB00000000
BBHD00000000
CCAY00000000
BBFT00000000
ALQB00000000
JAGZ00000000
CP002385
CP012150
MCHX00000000
CP011883
ARBU00000000
LFOF00000000
LDPO00000000
BBGO00000000
MIGZ00000000
FJVO00000000
CP003322
CP006835
CTEE00000000
AL450380
CP083405
CP019882
JXST00000000
CCBF00000000
CVTB00000000
ANPL00000000
CYSI00000000
JMDW00000000
CWKH00000000
BCTA00000000
JYNU00000000
BBHE00000000
ADNV00000000
CP014475
BCND00000000
BBHB00000000
BBGS00000000
BBHF00000000
MAFR00000000
LDCO00000000
CBMO000000000
JTJW00000000
CBMJ00000000
LN831039
AP018165
MLQM00000000
AGVE00000000
NC_008611
ALQA00000000
CP000511
CP003347
BDDI00000000
